video_id,fetch_date,rank_today,view_count,like_count,comment_count
93_waHVgDFY,2025-09-21,145,435414,5519,200
CmXaL_VB7dE,2025-09-21,146,64631,337,12
LVzWdTIh_PY,2025-09-21,147,77263,3466,103
jx0XWNKdnWY,2025-09-21,148,64359,432,36
UMTlrCaAkfo,2025-09-21,149,112684,1345,214
A9MmKQOkinA,2025-09-21,150,32684,172,7
ThwZepAWZ4Q,2025-09-21,151,151820,566,27
3bj5JEsdUfE,2025-09-21,152,29538,125,7
wc1uyzg6f-I,2025-09-21,153,535464,15599,1618
rMLGKq6IxoA,2025-09-21,154,201581,1911,30
9l8fI0-QYq4,2025-09-21,155,264147,7247,828
Lpds2E73oyE,2025-09-21,156,73092,626,12
e7_mirh3Mqk,2025-09-21,157,2307392,74216,3637
Aiyk2vzlGO8,2025-09-21,158,2646051,74754,3394
7JU4TsjPpjk,2025-09-21,159,321025,6469,0
VZC76E9eQvo,2025-09-21,160,77497,774,66
H-fXIc9xfdk,2025-09-21,161,44452,1787,104
88qysmFwRhU,2025-09-21,162,172000,1662,200
BfCQh-O7gbA,2025-09-21,163,55773,221,5
eC2SO3WRxs0,2025-09-21,164,14051,60,3
7x38gon4Yhs,2025-09-21,165,152400,5138,1627
QskZ3n3Qoeo,2025-09-21,166,107581,1190,27
lqupHMw0ggs,2025-09-21,167,868086,3396,4
Jw64x4o0qjA,2025-09-21,168,25064,186,18
9Hok4ls0tMQ,2025-09-21,169,85667,1658,153
DTM75nYH5Gg,2025-09-21,170,18931,119,4
bHGJBSTdjlw,2025-09-21,171,50095,555,5
H8MLYgeluyI,2025-09-21,172,189756,2914,42
g8gVgbAPrPc,2025-09-21,173,72986,2708,409
gGSlK0kqk_g,2025-09-21,174,406876,3556,162
QXMKx_3lscw,2025-09-21,175,282627,3826,604
nnWZuBZTmjY,2025-09-21,176,33501,120,2
RVDq7tiadVw,2025-09-21,177,175301,4717,6
RPCInxVG4Yc,2025-09-21,178,34575,1000,117
Qt5r81TK7Yo,2025-09-21,179,57445,202,6
e8gEdsJdETE,2025-09-21,180,51989,1838,107
IaZ1UUFMAP0,2025-09-21,181,122739,11138,23
lFQictFaDW0,2025-09-21,182,286639,1655,22
2MaqPqAbbiA,2025-09-21,183,304331,3798,140
PfGmx3teQB8,2025-09-21,184,66006,1080,147
hSSZyrnwlis,2025-09-21,185,112391,2062,121
r_lxE7kF0Fo,2025-09-21,186,51102188,602403,246993
KTpW9czkBhk,2025-09-21,187,53323,4188,450
3WAOjgvoX6k,2025-09-21,188,828778,21418,897
deCBBo3Cmtk,2025-09-21,189,366816,8190,564
91suyujJBgc,2025-09-21,190,62240,593,9
rvTQawL6P4U,2025-09-21,191,115052,2133,4
v2Kt6UkkqgQ,2025-09-21,192,16165,81,1
ixnsT5EbRY0,2025-09-21,193,181336,6648,564
