video_id,video_published_at,title,tags,channel_id,channel_title,subscriber_count,category_id,category_name,duration_seconds
4zR2ciFT3ZU,2025-10-07T00:30:03Z,Tiny Colorful Thanos vs Tiny Colorful Brr Brr Patapim & Franklin In Indian Bike Driving 3d ,gaming|Tiny Colorful Thanos vs Tiny Colorful Brr Brr Patapim & Franklin|Indian bike driving 3d|Video|gaming boy prince,UCtaiV8mzgAv7cYof2DuOouA,Gaming Boy Prince,170000,20,Gaming,799.0
Ajdy4zbmX3c,2025-10-03T01:00:11Z,#Video - #Khesari Lal Yadav - लाल घघरी - #Shilpi Raj - Lal Ghaghri  - #Akanksha Puri - Bhojpuri Song,khesari lal yadav|shilpi raj|khesari lal yadav new bhojpuri song|khesari lal yadav bhojpuri song|shilpi raj bhojpuri songs|shilpi raj entertainment|khesari music world|sur music|lal ghaghri|लाल घघरी|Akanksha Puri|khesari lal yadav new song|khesari lal yadav video song|bhojpuri song|shilpi raj new song|agni pariksha full movie|agni pariksha|khesari lal yadav song|new bhojpuri song|new song,UCW1BEAegBZdCOq4M7JtDSQw,Sur Music ,1970000,10,Music,178.0
ygKr-iIlMvM,2025-10-06T20:19:45Z,🔴 FREE FIRE LIVE👻GARENA FREE FIRE💀GUILD TEST LIVE !! GAMING NINJA #fflive #shortslive #ff #shorts,NNINJATIME|SHORT|SHORTS|SHORT FEED|FREE FIRE|FREE FIRE LIVE|TGR NRZ|1VS4|4V4|2BGAMER|TOTAL GAMING|GYAN GAMING|RAISTAR|FREE FIRE SHORTS|NONSTOP GAMING|B2K|LIVE|SONG|WHATSAPP STATUS|Rank gameplay|Rankpush|Grandmaster|Gold to grandmaster,UCNa-12YIScayXb6ZO34McPA,NINJA TIME,518000,20,Gaming,36692.0
4K8BWfyL-Sw,2025-10-04T23:30:01Z,Maa Lakshmi Panchali | Kojagari Lakshmi Puja |  Apily Dutta Bhowmick | Lokkhir Panchali ,,UCbr380j6jQs2Bf_sZ6FVIYg,RDC Bengali,214000,10,Music,1340.0
caJFuDBdlMA,2025-10-06T07:30:34Z,New Truck Business Ke Liye 50 Lakh Lagadiye 🤯 Leyland Ke Itne Truck Le Liye 😳🤑 ( GTA 5 Mods ),,UCwRcUJnaCMcWDjkmY9tl6YA,G5 Gamers,1850000,22,People & Blogs,1203.0
zSWXy3910lg,2025-10-06T07:05:09Z,Kaka - Heer (Official Video) | Waris Shah | Punjabi Trandional Song 2025,warisshahkalam|heer waris shah|waris shah poetry|heer waris shah kalam|Kaka Song|Heer Kaka|Kaka Heer|Kaka heer Song|Heer Song kaka|Tradional Song Heer|punjabi new song|heer waris shah in punjabi|kaka songs|kalam waris shah punjabi|heer waris shah kalam punjabi|kaka|heer waris shah kalam full|keh len de kaka|kaka latest punjabi song|kala libass kaka|Latest Punjabi Song|Latest Punjabi Song 2025,UCoBZjU5zDSWhlewGr3KJdrg,Kaka,2890000,10,Music,428.0
qCOlqcq43dI,2025-10-06T07:51:21Z,Noob Prank with 10 Year Old Cute Kid😂 - Free Fire,free fire|solo vs squad|badge99|total gaming|ajjubhai|desi gamers|tonde gamer|solo vs squad br rank gameplay|br rank best character combination|ff one tap headshot trick|noob prank|badge99 noob prank,UCPhZzHKo3Y5YYoazMQWuLTg,Badge 99,11600000,20,Gaming,924.0
jIykj3qIIjE,2025-10-06T01:15:05Z,#Video - #Paras Raj Yadav | साड़ी नीला नीला रे | #Anjali Bharti | Saadi Nila Nila | New #Khortha Song,khortha song|jharkhandi gana|sadi nila nila|nila nila sadi|nila nila sadiya|paras raj yadav ka gana dj|paras raj yadav ka gana|paras raj yadav new song|paras raj yadav ka new gana|paras raj yadav ka video|sadi nila nila re|new khortha song|sadi nila nila re dj|nila nila sadi paras raj yadav|sadi nila nila dj remix|साड़ी नीला नीला रे|sadi nila nila re dj remix|nila nila sadi dj|kora kora jab dharoi chhora khortha song|paras raj yadav dj|sari nila nila re,UCYUjeHp2jAb3nPrT8b90M4w,Shivraj Records,51900,10,Music,1182.0
I53VoZT2uwY,2025-10-06T09:30:16Z,New Cheats in INDIAN BIKE DRIVING 3d😱 New Stall,Target bhaiya|Target siblings|Target siblings gamerz|New myths|Ibd3d cheats|Indian bike driving 3d|New stall|Ibd3d new update|Target bhaiya Indian bike game|Indian theft auto|Ita update|Indian bike driving 3d copy game|Gta5 story part 12|Ibd3d story,UCB4PxBOJKtSNmztivrY6Nlg,Target siblings Gamerz,2840000,20,Gaming,1362.0
heYWQy7glB8,2025-10-06T12:35:28Z,Sharad Poonam Na Raas Garba | શરદ પુનમ સ્પેશિયલ ગરબા | Gujarati Garba 2025,rdc gujarati|gujarati song|gujarati geet|new gujarati song|new gujarati song 2025|gujarati new song|gujarati song new|gujarati song 2025|kaushik bharwad new song|Sharad Poonam Garba|શરદ પુનમ ગરબા|Sharad Poonam Special 2025|Non Stop Garba|Gujarati Garba 2025|Sharad Poonam Ni Raat|Raas Garba Jukebox|Gujarati Folk Dance|Traditional Garba Songs|Navratri Garba|Festival Garba|Gujarati Music 2025|Folk Garba 2025|Sharad Poonam Garba Songs,UCuB7zkQVpcPKzHYJn45vM9w,RDC Gujarati,13100000,10,Music,3552.0
pnqzTpN0NZQ,2025-10-06T17:25:19Z,"NEW DIWALI SPECIAL RARE GOLD ROYALE 🔥 -para SAMSUNG,A3,A5,A6,A7,J2,J5,J7,S5,S6,S7,S9,A10,A20,A30,A50",,UC2to8ff_riFkThMyYUiZIsw,Kreation Army,1710000,20,Gaming,655.0
6hQ7yZIh9K4,2025-10-06T12:35:43Z,"Jhalak Dikhla Ja - VIdeo Song | Aksar | Himesh Reshammiya | Emraan Hashmi, Udita Goswami | Sameer",Jhalak Dikhla Ja|Aksar|Himesh Reshammiya|Sameer|Emraan Hashmi|Udita Goswami|Dino Morea|Hindi Bollywood Song|Hindi Movies|Hindi Songs|official song|tseries movies|Bollywood Romantic Song|Jhalak Dikhla Ja Song|Bollywood Song|Jhalak Dikhlaja Song|Latest Hindi Movies|Full Hindi Song|Full Movies Song|Latest Hindi Song|Latest Bollywood Song|tseries|jhalak dikhla ja ek bar aaja aaja|jhalak dikhhla jaa song|jhalak dikhhla jaa remix|jhalak dikhhla jaa dj song,UCRm96I5kmb_iGFofE5N691w,T-Series Bollywood Classics,50400000,10,Music,251.0
AZybiYqsgbM,2025-10-05T11:09:43Z,Franklin Found Giant Spiderman Bike in Indian Bike Driving 3D,indian bike driving 3d new update|indian bike driving 3d cheat codes|indian bike driving 3d all cheat codes|indian bike driving 3d game|indian bike|npsdude|all cheat code indian bike driving 3d game new update|idb3|Franklin indian bike driving 3d|NPSDUDE|nps dude|Franklin Found Giant Spiderman Bike in Indian Bike Driving 3D|giant spider man bike india bike driving 3d|zombie Franklin vs giant spider man in india bike driving 3d|found spider man bike india bike driving 3d,UCndJ18y3MoL_kr-UD75aSsQ,NpsDude,707000,20,Gaming,814.0
